period,promotions_selected,max_promotions_allowed,expected_retailer_funded_markdown,expected_full_consumer_discount_value,max_realized_retailer_funded_markdown
1,2,3,0.379238427,3.792384265,0.468679688
2,3,3,0.41504001,4.150400102,0.507841446
3,2,3,0.393330532,3.93330532,0.502213751
4,1,3,0.017076773,0.170767735,0.020077492
5,1,3,0.01621054,0.162105402,0.021407937
