period,promotions_selected,max_promotions_allowed,expected_retailer_funded_markdown,expected_full_consumer_discount_value,max_realized_retailer_funded_markdown
1,3,3,0.407460208,4.074602077,0.502664591
2,3,3,0.41504001,4.150400102,0.507841446
3,2,3,0.463188281,4.631882809,0.5791275
4,2,3,0.049966727,0.499667271,0.059830393
5,0,3,0,0,0
