measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.154649969
total_promotions,10
total_regular_trucks,9
expected_demand,57.6342165
expected_fulfilled_sales,56.094631507
expected_lost_sales,1.539584993
expected_fill_rate,0.973286962
expected_shipped_quantity,48.832310507
expected_used_capacity,942.076563265
expected_available_capacity,1350
capacity_utilization,0.697834491
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.28961559
expected_full_consumer_discount_value,12.8961559
max_scenario_period_retailer_funded_markdown,0.533859489
mip_relative_gap,0.000074631
branch_and_cut_nodes,0
