scenario,probability,total_demand,fulfilled_sales,lost_sales,fill_rate,shipped_quantity,used_capacity,available_capacity
1,0.25,36.190864,36.190864,0,1,28.928543,556.493963897,1050
2,0.5,61.497084,61.497084,0,1,54.234763,1049.162181093,1050
3,0.25,86.877102,59.934796364,26.942305636,0.689880244,52.672475364,1050,1050
