scenario,probability,total_demand,fulfilled_sales,lost_sales,fill_rate,shipped_quantity,used_capacity,available_capacity
1,0.25,32.015813,32.015813,0,1,24.753492,477.028027836,1350
2,0.5,57.322033,57.322033,0,1,50.059712,969.696245032,1350
3,0.25,82.702051,76.638339518,6.063711482,0.926680035,69.376018518,1350,1350
