period,promotions_selected,max_promotions_allowed,expected_retailer_funded_markdown,expected_full_consumer_discount_value,max_realized_retailer_funded_markdown
1,3,3,0.407460202,4.074602018,0.502664591
2,2,3,0.442612226,4.426122263,0.508980283
3,2,3,0.468813689,4.688136891,0.597878842
4,3,3,0.085424671,0.854246715,0.104817488
5,2,3,0.045417338,0.454173382,0.061240837
