period,promotions_selected,max_promotions_allowed,expected_retailer_funded_markdown,expected_full_consumer_discount_value,max_realized_retailer_funded_markdown
1,3,3,0.395826904,3.958269044,0.531716925
2,3,3,0.40348151,4.0348151,0.538090534
3,2,3,0.393330532,3.93330532,0.54233845
4,0,3,0,0,0
5,1,3,0.01621054,0.162105402,0.023090826
