measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,5.0230325
total_promotions,10
total_regular_trucks,7
expected_demand,61.5192234
expected_fulfilled_sales,53.436531709
expected_lost_sales,8.082691691
expected_fill_rate,0.868615187
expected_shipped_quantity,46.174210709
expected_used_capacity,901.613061606
expected_available_capacity,1050
capacity_utilization,0.858679106
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.338695073
expected_full_consumer_discount_value,13.386950727
max_scenario_period_retailer_funded_markdown,0.560403388
mip_relative_gap,0
branch_and_cut_nodes,0
