measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,5.709087167
total_promotions,6
total_regular_trucks,9
expected_demand,52.3339225
expected_fulfilled_sales,52.191692719
expected_lost_sales,0.142229781
expected_fill_rate,0.997282264
expected_shipped_quantity,44.929371719
expected_used_capacity,863.952046619
expected_available_capacity,1350
capacity_utilization,0.639964479
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.172016709
expected_full_consumer_discount_value,11.720167092
max_scenario_period_retailer_funded_markdown,0.477402933
mip_relative_gap,0.000062584
branch_and_cut_nodes,82
