measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.43858982
total_promotions,10
total_regular_trucks,10
expected_demand,61.5192234
expected_fulfilled_sales,60.823095094
expected_lost_sales,0.696128306
expected_fill_rate,0.988684378
expected_shipped_quantity,53.560774094
expected_used_capacity,1036.613061606
expected_available_capacity,1500
capacity_utilization,0.691075374
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.335655226
expected_full_consumer_discount_value,13.35655226
max_scenario_period_retailer_funded_markdown,0.5791275
mip_relative_gap,0
branch_and_cut_nodes,327
