scenario,probability,total_demand,fulfilled_sales,lost_sales,fill_rate,shipped_quantity,used_capacity,available_capacity
1,0.25,28.093151,28.093151,0,1,20.83083,392.505411579,1350
2,0.5,53.399371,53.399371,0,1,46.13705,885.173628775,1350
3,0.25,78.779389,77.201341921,1.578047079,0.979968782,69.939020921,1350,1350
