measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.411677798
total_promotions,10
total_regular_trucks,10
expected_demand,59.2779225
expected_fulfilled_sales,59.2779225
expected_lost_sales,0
expected_fill_rate,1
expected_shipped_quantity,52.0156015
expected_used_capacity,1004.727922007
expected_available_capacity,1500
capacity_utilization,0.669818615
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.400997488
expected_full_consumer_discount_value,14.009974878
max_scenario_period_retailer_funded_markdown,0.57776934
mip_relative_gap,0.000040369
branch_and_cut_nodes,560
