period,promotions_selected,max_promotions_allowed,expected_retailer_funded_markdown,expected_full_consumer_discount_value,max_realized_retailer_funded_markdown
1,3,3,0.40242086,4.024208605,0.482507226
2,3,3,0.396741493,3.967414932,0.474316441
3,2,3,0.41859857,4.185985698,0.51338891
4,0,3,0,0,0
5,2,3,0.025810621,0.258106209,0.029805165
