period,promotions_selected,max_promotions_allowed,expected_retailer_funded_markdown,expected_full_consumer_discount_value,max_realized_retailer_funded_markdown
1,2,3,0.456199764,4.561997644,0.57776934
2,3,3,0.470390241,4.70390241,0.574931901
3,3,3,0.424440755,4.244407554,0.539638739
4,2,3,0.049966727,0.499667271,0.059830393
5,0,3,0,0,0
