period,promotions_selected,max_promotions_allowed,expected_retailer_funded_markdown,expected_full_consumer_discount_value,max_realized_retailer_funded_markdown
1,2,3,0.045384286,0.453842864,0.054798833
2,2,3,0.436045278,4.360452781,0.48271249
3,3,3,0.424245847,4.242458472,0.538859106
4,3,3,0.436671913,4.366719133,0.560403388
5,0,3,0,0,0
