period,promotions_selected,max_promotions_allowed,expected_retailer_funded_markdown,expected_full_consumer_discount_value,max_realized_retailer_funded_markdown
1,2,3,0.379238427,3.792384265,0.468679688
2,3,3,0.41504001,4.150400102,0.507841446
3,1,3,0.37464244,3.746424399,0.477402933
4,2,3,0.049966727,0.499667271,0.059830393
5,0,3,0,0,0
