scenario,probability,total_demand,fulfilled_sales,lost_sales,fill_rate,shipped_quantity,used_capacity,available_capacity
1,0.25,43.953498,43.953498,0,1,36.691177,714.168679246,1650
2,0.5,69.259718,69.259718,0,1,61.997397,1206.836896442,1650
3,0.25,94.639736,91.912006706,2.727729294,0.971177759,84.649685706,1650,1650
