measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,7.707414814
total_promotions,10
total_regular_trucks,7
expected_demand,61.5118436
expected_fulfilled_sales,56.123382473
expected_lost_sales,5.388461127
expected_fill_rate,0.912399616
expected_shipped_quantity,48.861061473
expected_used_capacity,950.796101435
expected_available_capacity,1050
capacity_utilization,0.905520097
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.345999577
expected_full_consumer_discount_value,13.459995774
max_scenario_period_retailer_funded_markdown,0.560403388
mip_relative_gap,0
branch_and_cut_nodes,0
