measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.176442671
total_promotions,8
total_regular_trucks,9
expected_demand,57.3404825
expected_fulfilled_sales,55.82455463
expected_lost_sales,1.51592787
expected_fill_rate,0.973562694
expected_shipped_quantity,48.56223363
expected_used_capacity,941.605129475
expected_available_capacity,1350
capacity_utilization,0.697485281
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.218887604
expected_full_consumer_discount_value,12.188876037
max_scenario_period_retailer_funded_markdown,0.507841446
mip_relative_gap,0
branch_and_cut_nodes,147
