scenario,probability,total_demand,fulfilled_sales,lost_sales,fill_rate,shipped_quantity,used_capacity,available_capacity
1,0.25,36.190864,36.190864,0,1,28.928543,556.493963897,1500
2,0.5,61.497084,61.497084,0,1,54.234763,1049.162181093,1500
3,0.25,86.877102,84.538636306,2.338465694,0.973083061,77.276315306,1499.660112878,1500
